config_tag,classifier,fold_id,repeat,fold,outer_seed,best_ell,best_k,best_gamma,best_C,inner_best_val,n_test,n_test_control,n_test_adhd,n_train,n_train_control,n_train_adhd,tp,tn,fp,fn,accuracy,balanced_accuracy,sensitivity,specificity,precision,recall,f1,auc_roc,mcc,best_T,best_rho,n_test_composition,n_test_adhd_composition,n_test_control_composition,class_balance_adhd,duration_mean,duration_std,duration_min,duration_max,duration_range,duration_mean_adhd,duration_mean_ctrl,duration_gap_adhd_minus_ctrl
N4G4,RKHS-KNN,r4f1,3,0,3,0.1,5.0,,,0.7291666666666666,25,12,13,96,48,48,10,5,7,3,0.6,0.592948717948718,0.7692307692307693,0.4166666666666667,0.5882352941176471,0.7692307692307693,0.6666666666666666,0.8012820512820512,0.199097700688145,,,25,13,12,0.52,149.061,58.00218394523319,76.969,304.922,227.95300000000003,164.20976923076927,132.6498333333333,31.559935897435963
N4G4,RKHS-KNN,r4f2,3,1,3,0.0031622776601683,7.0,,,0.7316176470588235,24,12,12,97,48,49,7,6,6,5,0.5416666666666666,0.5416666666666667,0.5833333333333334,0.5,0.5384615384615384,0.5833333333333334,0.56,0.6041666666666666,0.083624201000709,,,24,12,12,0.5,135.3835,42.05152569635619,72.547,267.117,194.57000000000002,142.1256666666667,128.64133333333334,13.484333333333353
N4G4,RKHS-KNN,r4f3,3,2,3,0.0316227766016837,7.0,,,0.6887254901960785,24,12,12,97,48,49,8,9,3,4,0.7083333333333334,0.7083333333333333,0.6666666666666666,0.75,0.7272727272727273,0.6666666666666666,0.6956521739130435,0.8680555555555555,0.4181210050035454,,,24,12,12,0.5,145.55833333333334,60.74179649149747,76.742,337.906,261.164,166.7065,124.41016666666667,42.29633333333334
N4G4,RKHS-KNN,r4f4,3,3,3,1.0,1.0,,,0.6470588235294118,24,12,12,97,48,49,10,8,4,2,0.75,0.75,0.8333333333333334,0.6666666666666666,0.7142857142857143,0.8333333333333334,0.7692307692307693,0.7500000000000002,0.50709255283711,,,24,12,12,0.5,134.65983333333335,41.52112954363971,62.367,219.375,157.008,153.57741666666666,115.74225,37.835166666666666
N4G4,RKHS-KNN,r4f5,3,4,3,0.1,3.0,,,0.7199754901960785,24,12,12,97,48,49,7,5,7,5,0.5,0.5,0.5833333333333334,0.4166666666666667,0.5,0.5833333333333334,0.5384615384615384,0.65625,0.0,,,24,12,12,0.5,134.32941666666667,37.0254124104873,77.297,228.258,150.961,145.54874999999998,123.11008333333332,22.438666666666663
N4G4,RKHS-KNN,r5f1,4,0,4,0.01,7.0,,,0.6145833333333334,25,12,13,96,48,48,12,7,5,1,0.76,0.7532051282051282,0.9230769230769232,0.5833333333333334,0.7058823529411765,0.9230769230769232,0.8,0.8974358974358975,0.5423695984263261,,,25,13,12,0.52,145.00536,46.08891100170771,62.367,262.266,199.89900000000003,159.34561538461537,129.47008333333335,29.875532051282022
N4G4,RKHS-KNN,r5f2,4,1,4,0.001,1.0,,,0.7107843137254902,24,12,12,97,48,49,6,8,4,6,0.5833333333333334,0.5833333333333333,0.5,0.6666666666666666,0.6,0.5,0.5454545454545454,0.5833333333333334,0.1690308509457033,,,24,12,12,0.5,138.82679166666665,51.680408990994344,81.852,337.906,256.054,149.49091666666666,128.16266666666667,21.328249999999997
N4G4,RKHS-KNN,r5f3,4,2,4,0.3162277660168379,1.0,,,0.6274509803921569,24,12,12,97,48,49,9,10,2,3,0.7916666666666666,0.7916666666666667,0.75,0.8333333333333334,0.8181818181818182,0.75,0.782608695652174,0.7916666666666667,0.5853694070049635,,,24,12,12,0.5,135.7305,51.740023658420505,77.297,276.0,198.703,151.63016666666667,119.83083333333333,31.799333333333337
N4G4,RKHS-KNN,r5f4,4,3,4,0.3162277660168379,1.0,,,0.8033088235294118,24,12,12,97,48,49,5,10,2,7,0.625,0.625,0.4166666666666667,0.8333333333333334,0.7142857142857143,0.4166666666666667,0.5263157894736842,0.625,0.2750095491084633,,,24,12,12,0.5,138.10058333333333,43.55544643616482,76.742,267.117,190.375,161.35799999999998,114.84316666666668,46.5148333333333
N4G4,RKHS-KNN,r5f5,4,4,4,0.01,3.0,,,0.7028186274509803,24,12,12,97,48,49,12,4,8,0,0.6666666666666666,0.6666666666666666,1.0,0.3333333333333333,0.6,1.0,0.75,0.8194444444444444,0.4472135954999579,,,24,12,12,0.5,141.49783333333332,52.48833613427776,72.547,304.922,232.37500000000003,150.74875,132.24691666666666,18.501833333333337
